Year,Agave PVS Solar,Badger 1,Catclaw PVS-Solar,Chino Solar Valley,CO_Bar_C_Solar,ConEd_Mesquite_60MWPVS_Solar,Cotton Center Solar,Desert Star,Foothills Solar Plant,Gila Bend,Gillespie 1,Harquahala Sun_Solar,Hashknife 1 PVS-Solar,Hashknife 2 PVS-Solar,Hashknife I PVS-Solar,Hyder I,Hyder II,Ironwood PVS-Solar,Ironwood_PVS_Solar,Kitt PVS-Solar,Legacy Solar,Luke AFB AZ Sun,Maricopa 1 PVS-Solar,Maricopa 2 PVS-Solar,New Solar,Paloma Solar,Papago PV,Pioneer PVS-Solar,PPA Ajo,PPA_Bagdad,Prescott Solar Plant,PVS Solar 5 HR,PVS Solar 5 HR ITC,PVS TBD Planned 2027 Solar,PVS TBD Planned 2029 Solar,Red Rock,Saddle Mountain Solar I,Sawtooth Solar,Serrano_PVS_Solar,Snowflake 1 PVS-Solar,Snowflake 2 PVS-Solar,Solana Sun,Sun_Streams3_Longroad_PVS_Solar,Sun_Streams4_Longroad_PVS_Solar,Utility Owned DE,Yuma_Invenergy_Solar,Arlington A,Arlington B,Arlington DB,Arv_CCH_1,Arv_CCH_2,Griffith A,Griffith B,Griffith DB,Harquahala 2022,Harquahala 2023,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,South Point A,South Point B,South Point DB,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,Desert Sun CT 1,Desert Sun CT 2,Future LM6000 CT 1,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Future LM6000 CT 9,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk EPC CT1,Redhawk EPC CT2,Redhawk EPC CT3,Redhawk EPC CT4,Redhawk EPC CT5,Redhawk EPC CT6,Redhawk EPC CT7,Redhawk EPC CT8,Redhawk Generating Station (ProEnergy Services) BTA,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance EPC 1,Sundance EPC 2,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 5,Yucca CT 6,Douglas,Microgrid - FUTURE,Microgrid Bucket 2,Microgrid Forrest Lakes,Microgrid Preacher,Microgrid Punkin Center,Microgrid-Aligned,Microgrid-City of Phx,Microgrid-MCASY,Microgrid-TSMC,Yucca CT 4,Cholla 1,Cholla 3,Four Corners 4,Four Corners 5,Aragonne Wind,Chevelon Butte,Chevelon Butte II,High Lonesome Wind,Perrin Ranch Wind LLC,West Camp (100MW) (AES),West Camp Wind,Demand Side Curtailment Area1 First Block,Demand Side Curtailment Area1 Second Block,DistBATT,DSM_1,Embedded_DG,Incremental_DG,AGX,Eastern Mining Load,External,Short-Term Purch,Summer Purchase 1,Summer Purchase 2,TempGen,Palo Verde 1,Palo Verde 2,Palo Verde 3,CE TURBO,Novo BioPower Plant,WM Landfill,Arlington A_2030,Arlington B_2030,Arlington DB_2030,Redhawk 1 A_2030,Redhawk 1 B_2030,Redhawk 1 DB_2030,Redhawk 2 A_2030,Redhawk 2 B_2030,Redhawk 2 DB_2030,Redhawk EPC CT1_2030,Redhawk EPC CT2_2030,Redhawk EPC CT3_2030,Redhawk EPC CT4_2030,Redhawk EPC CT5_2030,Redhawk EPC CT6_2030,Redhawk EPC CT7_2030,Redhawk EPC CT8_2030,Redhawk Generating Station (ProEnergy Services) BTA_2030,Sundance CT 1_2030,Sundance CT 10_2030,Sundance CT 2_2030,Sundance CT 3_2030,Sundance CT 4_2030,Sundance CT 5_2030,Sundance CT 6_2030,Sundance CT 7_2030,Sundance CT 8_2030,Sundance CT 9_2030,Sundance EPC 1_2030,Sundance EPC 2_2030,Coal EXT 1,Coal EXT 2,Cedarvale Wind Project (Agua Fria) WindNM,Coal 1 CHOLLA GAS,Coal 2 CHOLLA GAS,Desert Sun CCH 1,Desert Sun CCH 2,Desert Sun LgF CT 1,Desert Sun LgF CT 2,Eagle PumpHydro ,Generic Bio,Generic Bio TL,Generic Geo,Generic Geo TL,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,NM Wind Tranche 4,Solar Tranche 1,Solar Tranche 2,Solar Tranche 3,Solar Tranche 4,Solar Tranche 5,Solar Tranche 6,AZ Wind Tranche 1,Generic AdvNuc,Generic AdvNuc TL,Generic FC H Frame,Generic FC LgFrameCT,Generic SMR,Generic SMR TL,Generic H Frame TL,Generic H Frame,Generic H Frame Tolls,Generic LgFrameCT TL,Generic LgFrameCT,Newest Updated_LgFrameCT (Southline) (RETIRED),NM Wind Hidalgo,NM Wind FC,Pyramid Mountain Wind (EDF Renewables),SRP PumpHydro Phase 1,SRP PumpHydro Phase 2,Updated_CCS_F,Updated_CCS_F_TL,Updated_CCS_H,Updated_CCS_H_TL,Updated_LgFrameCT,Updated_LgFrameCT_TL,AES Westwing I ESS,AES Westwing II ESS,Agave 1 PVS BESS,Agave 2 BESS,Agave PVS-BESS,Beehive BESS,Catclaw PVS-BESS,Chino Solar Valley BESS,CO_Bar_C_Battery,ConEd_Mesquite_60MWPVS_Battery,Cotton Center Solar BESS,Desert Bloom BESS,Desert Star BESS,El Sol ESS,ESS 4 Hr,ESS 5 Hr,Foothills Solar Plant BESS,Gila Bend BESS,Harquahala Flats 1 BESS,Harquahala Flats 2 BESS,Harquahala Sun_Battery,Hashknife 1 PVS-BESS,Hashknife 2 PVS-BESS,Hashknife I PVS-BESS,Hyder I BESS,Hyder II BESS,Ironwood_PVS_Battery,Justice BESS,Kitt PVS-BESS,Maricopa 1 PVS-BESS,Maricopa 2 PVS-BESS,Paloma Solar BESS,Papago ESS,Pioneer PVS-BESS,Pluto ESS,PVS ESS 5 HR,PVS ESS 5 HR ITC,PVS TBD Planned 2027 BESS,PVS TBD Planned 2029 BESS,Red Rock BESS,Serrano_PVS_Battery,Snowflake 1 PVS-BESS,Snowflake 2 PVS-BESS,Strata_Scatterwash 1_ESS,Strata_Scatterwash 2_ESS,Sun_Streams3_Longroad_PVS_Battery,Sun_Streams4_Longroad_PVS_Battery,White Tanks BESS,Yuma_Invenergy_Battery,ESS_6H_T1,ESS_6H_T2,ESS_6H_T3,ESS_8H_T1,ESS_8H_T2,ESS_8H_T3
2036,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,4305,17.221,150,300,3.567,13.7122,9.625,540,26,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,313.8749881,1290.819272,1365.433938,1563.166589,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,540,26,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2037,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,4971,17.221,150,300,3.567,13.7122,9.625,566,74,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,345.6178503,1404.326494,1365.433938,1655.62785,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,74,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2038,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,5334,17.221,150,300,3.567,13.7122,9.625,566,222,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,377.4996994,1516.001269,1365.433938,1751.46206,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,222,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2039,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,5866,17.221,150,300,3.567,13.7122,9.625,566,364,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,409.5205352,1628.80148,1365.433938,1848.674181,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,364,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2040,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,566,456,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,441.6803578,1736.364968,1365.433938,1948.81493,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,456,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2041,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,566,456,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,473.9791672,1852.645082,1365.433938,2046.713556,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,824,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,456,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2042,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,640,382,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,506.4169634,1965.826161,1365.433938,2147.5462,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,824,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,640,382,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2043,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,788,497,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,538.9937464,2077.428872,1365.433938,2249.55083,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,788,497,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2044,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,930,355,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,571.7095162,2186.67642,1365.433938,2355.05355,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,930,355,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2045,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2046,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2047,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
2048,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,275,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,250,215,300,40.3443,70,282.5,282.5,65,512.5,512.5,244,244,112,300,0,258,258,22,258,258,22,253,253,19,85,85,85,112,246,246,12,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,48.75,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,282.5,282.5,65,258,258,22,258,258,22,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,42,42,42,42,42,42,42,42,42,42,45,45,0,0,475,116,271,512.5,512.5,323.5,323.5,325,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,444.4,279.5,100,100,512.5,512.5,512.5,323.5,323.5,323.5,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500
