Year,Agave PVS Solar,Badger 1,Catclaw PVS-Solar,Chino Valley Solar,CO Bar C PVS-Solar,Mesquite 5 PVS-Solar,Cotton Center Solar,Desert Star Solar,Foothills Solar,Gila Bend Solar,Gillespie 1 Solar,Harquahala Sun 2 PVS-Solar,Hashknife 1 PVS-Solar,Hashknife 2 PVS-Solar,Hyder I Solar,Hyder II Solar,Ironwood PVS-Solar,Ironwood_PVS_Solar,Kitt PVS-Solar,Legacy Solar,Luke AFB Solar,Maricopa 1 PVS-Solar,Maricopa 2 PVS-Solar,New Solar,Paloma Solar,Papago Solar,Pioneer PVS-Solar,Ajo Solar,Bagdad Solar,Prescott Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,PVS TBD Planned 2027 Solar,PVS TBD Planned 2029 Solar,Red Rock Solar,Saddle Mountain Solar,Sawtooth Solar,Serrano_PVS_Solar,Snowflake 1 PVS-Solar,Snowflake 2 PVS-Solar,Solana,SunStreams3 PVS-Solar,SunStreams4 PVS-Solar,Utility Owned DE,Yuma PVS-Solar,Arlington A,Arlington B,Arlington DB,Arv_CCH_1,Arv_CCH_2,Griffith A,Griffith B,Griffith DB,Harquahala 2022,Harquahala 2023,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,South Point A,South Point B,South Point DB,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,West Phoenix CC4,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,Desert Sun CT 1,Desert Sun CT 2,Future LM6000 CT 1,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Future LM6000 CT 9,Ocotillo CT 1,Ocotillo CT 2,Ocotillo CT 3,Ocotillo CT 4,Ocotillo CT 5,Ocotillo CT 6,Ocotillo CT 7,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Redhawk Generating Station (ProEnergy Services) BTA,Saguaro CT 1,Saguaro CT 2,Saguaro CT 3,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Sundance CT11,Sundance CT12,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 1,Yucca CT 2,Yucca CT 3,Yucca CT 5,Yucca CT 6,Douglas,Microgrid - FUTURE,Microgrid XHLF,Microgrid Forrest Lakes,Microgrid Preacher,Microgrid Punkin Center,Microgrid Aligned,Microgrid City of Phx,Microgrid MCASY,Microgrid TSMC,Yucca CT 4,Cholla 1,Cholla 3,Four Corners 4,Four Corners 5,Aragonne,Chevelon Butte,Chevelon Butte II,High Lonesome,Perrin Ranch,West Camp (100MW) (AES),West Camp,Demand Side Curtailment Area1 First Block,Demand Side Curtailment Area1 Second Block,Distributed BESS,EE_Baseline,Embedded_DG,Incremental_DG,AGX,Eastern Mining Load,External,Short-Term Purch,Summer Purchase 1,Summer Purchase 2,TempGen,Palo Verde 1,Palo Verde 2,Palo Verde 3,CE TURBO,Novo BioPower,WM Landfill,Coal EXT 1,Coal EXT 2,Cedarvale Wind Project (Agua Fria) WindNM,Cholla 1 Repower Gas,Cholla 3 Repower Gas,Desert Sun CCH 1,Desert Sun CCH 2,Saguaro DS CT1,Saguaro DS CT2,Eagle PumpHydro ,New Bio Metro,New Bio Northern,Generic Bio Pinal,Generic Bio Palo Verde,Generic Bio TL Metro,Generic Bio TL Northern,Generic Bio TL Pinal,Generic Bio TL Palo Verde,New Geothermal,Generic Geo TL,NM Wind Tranche 1,NM Wind Tranche 2,NM Wind Tranche 3,NM Wind Tranche 4,Solar Tranche 1 Metro,Solar Tranche 2 Metro,Solar Tranche 3 Metro,Solar Tranche 1 Pinal,Solar Tranche 2 Pinal,Solar Tranche 3 Pinal,Solar Tranche 1 Northern,Solar Tranche 2 Northern,Solar Tranche 3 Northern,Solar Tranche 1 Palo Verde,Solar Tranche 2 Palo Verde,Solar Tranche 3 Palo Verde,Solar Tranche 4 Metro,Solar Tranche 5 Metro,Solar Tranche 6 Metro,Solar Tranche 4 Pinal,Solar Tranche 5 Pinal,Solar Tranche 6 Pinal,Solar Tranche 4 Northern,Solar Tranche 5 Northern,Solar Tranche 6 Northern,Solar Tranche 4 Palo Verde,Solar Tranche 5 Palo Verde,Solar Tranche 6 Palo Verde,AZ Wind Tranche 1,AdvNuc Palo Verde,AdvNuc Pinal,Generic AdvNuc TL Palo Verde,Generic AdvNuc TL Pinal,Generic FC H Frame,Generic FC LgFrameCT,SMR Palo Verde,SMR Pinal,Generic SMR TL Palo Verde,Generic SMR TL Pinal,Generic H Frame TL Palo Verde,Generic H Frame TL Pinal,New CC Palo Verde,New CC Pinal,Generic H Frame Tolls,Generic LgFrameCT TL Palo Verde,Generic LgFrameCT TL Pinal,New CT Palo Verde,New CT Pinal,Newest Updated_LgFrameCT (Southline) (RETIRED),NM Wind Hidalgo,NM Wind FC,Pyramid Mountain Wind (EDF Renewables),Generic PumpHydro Phase 1,Generic PumpHydro Phase 2,Updated_CCS_F,Updated_CCS_F_TL,Updated_CCS_H,Updated_CCS_H_TL,Updated_LgFrameCT,Updated_LgFrameCT_TL,AES Westwing I BESS,AES Westwing II BESS,Agave 1 PVS BESS,Agave 2 BESS,Agave PVS-BESS,Beehive BESS,Catclaw PVS-BESS,Chino Valley BESS,CO Bar C PVS-BESS,Mesquite 5 PVS-BESS,Cotton Center BESS,Desert Bloom BESS,Desert Star BESS,El Sol BESS,ESS 4 Hr,ESS 5 Hr,Foothills BESS,Gila Bend BESS,Harquahala Flats 1 BESS,Harquahala Flats 2 BESS,Harquahala Sun 2 PVS-BESS,Hashknife 1 PVS-BESS,Hashknife 2 PVS-BESS,Hashknife I PVS-BESS,Hyder I BESS,Hyder II BESS,Ironwood_PVS_Battery,Justice BESS,Kitt PVS-BESS,Maricopa 1 PVS-BESS,Maricopa 2 PVS-BESS,Paloma BESS,Papago BESS,Pioneer PVS-BESS,Pluto BESS,PVS ESS 5 HR,PVS ESS 5 HR ITC,PVS TBD Planned 2027 BESS,PVS TBD Planned 2029 BESS,Red Rock BESS,Serrano PVS-BESS,Snowflake 1 PVS-BESS,Snowflake 2 PVS-BESS,Scatterwash 1 BESS,Scatterwash 2 BESS,SunStreams3 PVS-BESS,SunStreams4 PVS-BESS,White Tanks BESS,Yuma PVS-BESS,BESS_6H_T1 Metro,BESS_6H_T2 Metro,BESS_6H_T3 Metro,ESS_6H_T1 Pinal,ESS_6H_T2 Pinal,ESS_6H_T3 Pinal,BESS_6H_T1 Northern,BESS_6H_T2 Northern,BESS_6H_T3 Northern,ESS_6H_T1 Palo Verde,ESS_6H_T2 Palo Verde,ESS_6H_T3 Palo Verde,BESS_8H_T1 Metro,BESS_8H_T2 Metro,BESS_8H_T3 Metro,ESS_8H_T1 Pinal,ESS_8H_T2 Pinal,ESS_8H_T3 Pinal,BESS_8H_T1 Northern,BESS_8H_T2 Northern,BESS_8H_T3 Northern,ESS_8H_T1 Palo Verde,ESS_8H_T2 Palo Verde,ESS_8H_T3 Palo Verde,CSP Metro,CSP Northern
2036,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,4305,17.221,150,300,3.567,13.7122,9.625,540,26,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,313.8749881,1290.819272,1365.433938,1563.166589,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,540,26,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2037,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,4971,17.221,150,300,3.567,13.7122,9.625,566,74,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,345.6178503,1404.326494,1365.433938,1655.62785,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,74,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2038,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,5334,17.221,150,300,3.567,13.7122,9.625,566,222,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,377.4996994,1516.001269,1365.433938,1751.46206,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,222,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2039,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,5866,17.221,150,300,3.567,13.7122,9.625,566,364,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,409.5205352,1628.80148,1365.433938,1848.674181,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,364,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2040,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,566,456,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,441.6803578,1736.364968,1365.433938,1948.81493,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,615,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,456,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2041,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,566,456,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,473.9791672,1852.645082,1365.433938,2046.713556,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,824,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,566,456,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2042,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,640,382,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,506.4169634,1965.826161,1365.433938,2147.5462,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,824,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,640,382,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2043,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,788,497,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,538.9937464,2077.428872,1365.433938,2249.55083,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,788,497,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2044,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,930,355,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,571.7095162,2186.67642,1365.433938,2355.05355,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,930,355,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2045,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2046,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
2047,150,14.376,225,18.857,206,60,16.093,10.89,35.794,35.94,14.221,300,275,197.8,15.192,14.751,168,168,97.706,3.9312,11.64,183.3,366.7,6284,17.221,150,300,3.567,13.7122,9.625,1022,263,250,100,39.8,13.412,250,170,400,75,257.767,215,300,40.3443,70,267.5,267.5,65,512.5,512.5,244,244,112,300,0,258,258,30,258,258,30,253,253,19,85,85,85,112,246,246,21,323.5,323.5,42,41,41,41,42,42,42,42,42,42,42,41,55,55,106,102,105,102,105,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,342,55,55,75,42,42,42,42,42,42,42,42,42,42,45,45,55,55,19,19,55,45,45,16,400,215,1.6,1.6,2.2,10.8,6,22,42.12,54,112,269,485.1,485.1,194.6,232.8413,210.736,97.3,97,99,490.9,363,10000,604.5642728,2303.588993,1365.433938,2457.865573,102.7,40.963005,10000,0,345,450,50,381.792,382.374,381.5,10,14,2.58,0,0,475,116,271,619,619,355,355,325,50,50,50,50,50,50,50,50,50,50,500,500,500,900,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,536.78,306.68,100,100,100,100,512.5,512.5,512.5,512.5,512.5,350,350,355,355,350,250,180,396,300,250,617.6,617.6,846.3,846.3,222.5,222.5,80.3,119.7,150,150,150,250,250,19,206,60,17,150,10,50,0,963,35,32,225,225,300,275,200,275,16,14,168,150,100,183.3,366.7,17,300,300,75,1022,263,250,100,40,213.75,400,75,170,85,215,300,100,67,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,100,100
